,,error,error
,,count,mean
code,sb,,
2012.1.00060.S,uid://A002/X639a2a/X1,1,0.218652645262
2012.1.00080.S,uid://A002/X6444ba/X7,10,0.0669054153745
2012.1.00080.S,uid://A002/X6444ba/X8,22,234212.283253
2012.1.00261.S,uid://A002/X6444ba/X9e,1,0.0855921285605
2012.1.00261.S,uid://A002/X6444ba/X9f,2,0.0855921285605
2012.1.00323.S,uid://A002/X67ccb6/X9,1,0.524202032949
2012.1.00333.S,uid://A002/X6f9b0f/X106,1,0.725253073517
2012.1.00335.S,uid://A002/X75fbd6/X27,2,0.252851808197
2012.1.00335.S,uid://A002/X75fbd6/X28,6,0.259273499551
2012.1.00385.S,uid://A002/X6b0cc1/Xa0,2,1295920.61462
2012.1.00394.S,uid://A002/X639a2a/X3a,1,40.7996913997
2012.1.00394.S,uid://A002/X639a2a/X3c,2,40.7996913997
2012.1.00394.S,uid://A002/X639a2a/X3e,1,0.157410817168
2012.1.00394.S,uid://A002/X639a2a/X3f,4,0.0179379340385
2012.1.00394.S,uid://A002/X639a2a/X40,1,403.776318195
2012.1.00394.S,uid://A002/X639a2a/X41,8,0.0930490779259
2012.1.00501.S,uid://A002/X5d5f8a/X3,1,1097897.21299
2012.1.00542.S,uid://A002/X6444ba/X33,1,2.83098501364
2012.1.00542.S,uid://A002/X6444ba/X34,2,3.22937708025
2012.1.00554.S,uid://A002/X5d7935/X39e,2,0.0321198935977
2012.1.00554.S,uid://A002/X5d7935/X39f,3,0.0246841930904
2012.1.00554.S,uid://A002/X5d7935/X3a0,2,0.0227417295163
2012.1.00554.S,uid://A002/X5d7935/X3a1,4,0.0563884846055
2012.1.00554.S,uid://A002/X5d7935/X3a2,2,0.322795793625
2012.1.00554.S,uid://A002/X5d7935/X3a3,4,0.327330264639
2012.1.00554.S,uid://A002/X5d7935/X3a4,2,0.299879699998
2012.1.00554.S,uid://A002/X5d7935/X3a5,6,0.295965713264
2012.1.00603.S,uid://A002/X6f9b0f/Xbb,1,0.0742755136503
2012.1.00603.S,uid://A002/X6f9b0f/Xbc,4,0.0661886871339
2012.1.00603.S,uid://A002/X6f9b0f/Xbf,1,0.0432364618337
2012.1.00603.S,uid://A002/X6f9b0f/Xc0,5,0.0744969529509
2012.1.00603.S,uid://A002/X6f9b0f/Xc3,2,0.0925892526522
2012.1.00603.S,uid://A002/X6f9b0f/Xc4,6,0.0812592684423
2012.1.00603.S,uid://A002/X6f9b0f/Xc7,2,0.0929910376203
2012.1.00603.S,uid://A002/X6f9b0f/Xc8,8,0.0771629118868
2012.1.00603.S,uid://A002/X6f9b0f/Xcb,1,0.108307671875
2012.1.00603.S,uid://A002/X6f9b0f/Xcc,4,0.0286034926
2012.1.00683.S,uid://A002/X74fe5d/X2d,2,0.0953109664304
2012.1.00683.S,uid://A002/X74fe5d/X2e,6,0.109402146961
2012.1.00683.S,uid://A002/X74fe5d/X31,1,0.0537796287791
2012.1.00683.S,uid://A002/X74fe5d/X32,2,0.103003257617
2012.1.00762.S,uid://A002/X5a9a13/X684,5,257255.801711
2012.1.00762.S,uid://A002/X5a9a13/X685,15,257255.433726
2012.1.00781.S,uid://A002/X628157/X8,1,374312.032747
2012.1.00932.S,uid://A002/X5eed86/X48,2,0.0160047990968
2012.1.00940.S,uid://A002/X6444ba/X1b,1,1287291.56682
2013.1.00214.S,uid://A001/X145/X438,1,0.244677085536
2013.1.00214.S,uid://A001/X146/Xcb,2,0.252851801312
2013.1.00214.S,uid://A001/X146/Xcc,4,0.259273490612
2013.1.00269.S,uid://A001/X121/X4b2,4,0.0802846755656
2013.1.00269.S,uid://A001/X121/X4b3,4,0.0802846755656
2013.1.00269.S,uid://A001/X121/X4b4,4,0.0829723569348
2013.1.00351.S,uid://A001/X122/X4ff,2,0.0737373468181
2013.1.00351.S,uid://A001/X122/X500,7,0.0756302940259
2013.1.00351.S,uid://A001/X122/X501,2,0.383881766562
2013.1.00351.S,uid://A001/X122/X502,5,0.375183698424
2013.1.00617.S,uid://A001/X197/Xad,6,3.57471130081
2013.1.00617.S,uid://A001/X197/Xb1,3,2.21110632928
2013.1.00839.S,uid://A001/X133/X2,1,1.36297214414
2013.1.00839.S,uid://A001/X133/X3,4,1.35599281699
2013.1.00839.S,uid://A001/X133/X4,2,0.0914316693354
2013.1.00839.S,uid://A001/X133/X5,4,0.0883247719615
2013.1.00839.S,uid://A001/X133/X6,1,0.315132559954
2013.1.00839.S,uid://A001/X133/X7,2,0.295268798528
2013.1.00861.S,uid://A001/X11f/X2c,1,0.175370578914
2013.1.00914.S,uid://A001/X21f/Xcc,1,0.115207453178
2013.1.00993.S,uid://A002/X996c88/X2c,3,0.124680658309
2013.1.00993.S,uid://A002/X996c88/X2d,1,0.140803573223
2013.1.00993.S,uid://A002/X996c88/X2e,1,0.140151215919
2013.1.01014.S,uid://A001/X145/X3d2,4,3.08095000526
