,UID,DATE,ValidUID,NullState,SyscalTime,CSV2555
0,uid://A002/X946a23/X9de,2014-11-19 04:56:30.257000,True,True,True,True
1,uid://A002/X946a23/X24c,2014-11-19 00:39:58.171000,True,True,True,True
2,uid://A002/X93cb46/X1d3,2014-11-15 02:39:05.821000,True,True,True,True
3,uid://A002/X929af2/Xb6,2014-11-06 21:53:48.772000,True,True,False,True
4,uid://A002/X920302/X2047,2014-11-01 21:35:35.369000,True,True,False,True
5,uid://A002/X91e796/Xc8,2014-10-30 21:59:35.628000,True,True,False,True
6,uid://A002/X8fd70f/X82a,2014-10-12 01:38:43.003000,True,True,True,True
7,uid://A002/X8fd70f/X69a,2014-10-12 00:37:43.376000,True,True,True,True
8,uid://A002/X8fd70f/X449,2014-10-11 23:35:00.468000,True,True,True,True
9,uid://A002/X8fd70f/X2b9,2014-10-11 22:45:36.675000,True,True,True,True
10,uid://A002/X8fd70f/X68,2014-10-11 21:40:55.771000,True,True,True,True
11,uid://A002/X8fa65e/X807,2014-10-11 01:34:01.959000,True,True,True,True
12,uid://A002/X8fa65e/X677,2014-10-11 00:33:26.669000,True,True,True,True
13,uid://A002/X8fa65e/X426,2014-10-10 23:29:43.079000,True,True,True,True
14,uid://A002/X8fa65e/X296,2014-10-10 22:43:41.008000,True,True,True,True
15,uid://A002/X8fa65e/X39,2014-10-10 21:34:17.636000,True,True,True,True
16,uid://A002/X8f3a3d/X16f0,2014-10-08 08:30:06.205000,True,True,True,True
17,uid://A002/X8f3a3d/X1410,2014-10-08 07:23:59.555000,True,True,True,True
18,uid://A002/X8f3a3d/X1130,2014-10-08 06:17:50.031000,True,True,True,True
19,uid://A002/X8f3a3d/Xe9e,2014-10-08 05:25:08.332000,True,True,True,True
20,uid://A002/X8f3a3d/Xe9d,2014-10-08 05:16:08.764000,True,True,True,True
21,uid://A002/X8f3a3d/Xa10,2014-10-08 02:11:52.550000,True,True,True,True
22,uid://A002/X8f3a3d/X76f,2014-10-08 01:15:43.657000,True,True,True,True
23,uid://A002/X8f3a3d/X5df,2014-10-08 00:29:50.219000,True,True,True,True
24,uid://A002/X8f3a3d/X44f,2014-10-07 23:44:00.591000,True,True,True,True
25,uid://A002/X8f3a3d/X2bf,2014-10-07 23:00:07.054000,True,True,True,True
26,uid://A002/X8f3a3d/X12f,2014-10-07 22:13:46.217000,True,True,True,True
27,uid://A002/X8f1c7c/X1aa6,2014-10-07 11:14:16.335000,True,True,True,True
28,uid://A002/X8f1c7c/X17e7,2014-10-07 10:09:49.568000,True,True,True,True
29,uid://A002/X8f1c7c/X1528,2014-10-07 09:09:00.470000,True,True,True,True
30,uid://A002/X8f1c7c/X1269,2014-10-07 08:07:44.746000,True,True,True,True
31,uid://A002/X8f1c7c/Xdf8,2014-10-07 05:24:38.778000,True,True,True,True
32,uid://A002/X8f1c7c/Xb78,2014-10-07 04:27:15.449000,True,True,True,True
33,uid://A002/X8f1c7c/X690,2014-10-07 01:17:47.465000,True,True,True,True
34,uid://A002/X8f1c7c/X509,2014-10-07 00:32:51.737000,True,True,True,True
35,uid://A002/X8f1c7c/X382,2014-10-06 23:31:14.816000,True,True,True,True
36,uid://A002/X8f1c7c/X1fb,2014-10-06 22:36:18.991000,True,True,True,True
37,uid://A002/X8f1c7c/X68,2014-10-06 21:48:17.820000,True,True,True,True
38,uid://A002/X8ec83d/X1128,2014-10-05 11:24:12.233000,True,True,True,True
39,uid://A002/X8ec83d/Xe69,2014-10-05 10:23:11.171000,True,True,True,True
40,uid://A002/X8ec83d/Xbaa,2014-10-05 09:22:03.767000,True,True,True,True
41,uid://A002/X8ec83d/X67c,2014-10-05 06:06:19.899000,True,True,True,True
42,uid://A002/X8e4fe2/X273,2014-10-03 02:40:58.281000,True,True,True,True
43,uid://A002/X8e4fe2/X6f,2014-10-03 00:21:08.151000,True,True,True,True
44,uid://A002/X8e10b9/X1a48,2014-10-01 09:52:52.487000,True,True,True,True
45,uid://A002/X8e10b9/X1750,2014-10-01 07:45:51.067000,True,True,True,True
46,uid://A002/X8e10b9/X1527,2014-10-01 06:50:21.941000,True,True,True,True
47,uid://A002/X8e10b9/X12fe,2014-10-01 05:53:16.011000,True,True,True,True
48,uid://A002/X8e10b9/X1023,2014-10-01 04:47:42.989000,True,True,True,True
49,uid://A002/X8e10b9/Xdfa,2014-10-01 03:52:17.186000,True,True,True,True
