|CODE|SB|EB|Beam.10|MaxOffErr
|2012.1.00060.S|uid://A002/X639a2a/X1|uid://A002/X826a79/Xcdb|0.0957382951046|0.218652645262
|2012.1.00080.S|uid://A002/X6444ba/X7|uid://A002/X651f57/Xadd|0.0490915825538|0.06690605946
|2012.1.00080.S|uid://A002/X6444ba/X7|uid://A002/X680f8a/Xadc|0.0230738163701|0.0669060592574
|2012.1.00080.S|uid://A002/X6444ba/X7|uid://A002/X6a533e/Xd66|0.0230738163701|0.0669060592574
|2012.1.00261.S|uid://A002/X6444ba/X9e|uid://A002/X7c6ce6/Xa4|0.0634051978479|0.0855921285605
|2012.1.00261.S|uid://A002/X6444ba/X9f|uid://A002/X7d44e7/X1bf|0.0604955016033|0.0855921285605
|2012.1.00261.S|uid://A002/X6444ba/X9f|uid://A002/X7d44e7/X2dd|0.0604955016033|0.0855921285605
|2012.1.00323.S|uid://A002/X67ccb6/X9|uid://A002/X7776f1/X1ba9|0.0454364680938|0.524202032949
|2012.1.00333.S|uid://A002/X6f9b0f/X106|uid://A002/X71e4ae/X317|0.0208631734278|0.725253073517
|2012.1.00335.S|uid://A002/X75fbd6/X27|uid://A002/X77da97/X43d|0.146355789431|0.252851808197
|2012.1.00335.S|uid://A002/X75fbd6/X27|uid://A002/X77da97/X836|0.146355789431|0.252851808197
|2012.1.00394.S|uid://A002/X639a2a/X3e|uid://A002/X74fea5/X1311|0.150215712506|0.157410817168
|2012.1.00542.S|uid://A002/X6444ba/X33|uid://A002/X7c8369/X64e|0.0420403232|2.83098501364
|2012.1.00542.S|uid://A002/X6444ba/X34|uid://A002/X7d76cc/X520|0.0406568958143|3.22937708025
|2012.1.00542.S|uid://A002/X6444ba/X34|uid://A002/X95b353/Xb11|0.0456261091978|3.22937708025
|2012.1.00554.S|uid://A002/X5d7935/X3a2|uid://A002/X74deb6/X14df|0.0604549750492|0.321383161871
|2012.1.00554.S|uid://A002/X5d7935/X3a2|uid://A002/X7c18c1/X4c7|0.0660123971767|0.324208425379
|2012.1.00554.S|uid://A002/X5d7935/X3a4|uid://A002/X74eb2a/X1b7|0.120907742586|0.299937242716
|2012.1.00554.S|uid://A002/X5d7935/X3a4|uid://A002/X74eb2a/X24b|0.120907742586|0.299822157281
|2012.1.00603.S|uid://A002/X6f9b0f/Xc3|uid://A002/X75f169/X4d9|0.0436798724377|0.113680929036
|2012.1.00603.S|uid://A002/X6f9b0f/Xc7|uid://A002/X75f169/X6fc|0.0436798724377|0.11762937821
|2012.1.00603.S|uid://A002/X6f9b0f/Xcb|uid://A002/X75f169/X8b4|0.0436798724377|0.108307671875
|2012.1.00683.S|uid://A002/X74fe5d/X2d|uid://A002/X75ab74/X5fd|0.041753173045|0.134815248606
|2012.1.00762.S|uid://A002/X5a9a13/X684|uid://A002/X5e6e29/X13|0.0539194241288|0.0979287715419
|2012.1.00762.S|uid://A002/X5a9a13/X684|uid://A002/X680f8a/X6b5|0.0196466258543|0.0979287715419
|2012.1.00762.S|uid://A002/X5a9a13/X684|uid://A002/X6a1245/X23c|0.041727098547|0.0979287715419
|2012.1.00932.S|uid://A002/X5eed86/X48|uid://A002/X6a533e/X123c|0.0103448685257|0.0160047990968
|2013.1.00214.S|uid://A001/X145/X438|uid://A002/X98ed3f/X1cf5|0.153291792381|0.244677085536
|2013.1.00214.S|uid://A001/X146/Xcb|uid://A002/X98ed3f/X21cf|0.160344029134|0.252851801312
|2013.1.00214.S|uid://A001/X146/Xcb|uid://A002/X9a24bb/X1460|0.160344029134|0.252851801312
|2013.1.00269.S|uid://A001/X121/X4b2|uid://A002/Xa4ce71/X49f|0.0430518614977|0.0802846755656
|2013.1.00269.S|uid://A001/X121/X4b2|uid://A002/Xa4dcb9/X8ac|0.0430518614977|0.0802846755656
|2013.1.00269.S|uid://A001/X121/X4b2|uid://A002/Xa4dcb9/Xbad|0.0430518614977|0.0802846755656
|2013.1.00269.S|uid://A001/X121/X4b2|uid://A002/Xa4dcb9/Xebe|0.0430518614977|0.0802846755656
|2013.1.00351.S|uid://A001/X122/X501|uid://A002/X966cea/X88|0.153240802298|0.383881766562
|2013.1.00351.S|uid://A001/X122/X501|uid://A002/X966cea/X35d|0.153240802298|0.383881766562
|2013.1.00617.S|uid://A001/X197/Xad|uid://A002/Xa8666f/X1f3|0.501821918651|3.57471130081
|2013.1.00617.S|uid://A001/X197/Xad|uid://A002/Xa8666f/X587|0.501821918651|3.57471130081
|2013.1.00617.S|uid://A001/X197/Xad|uid://A002/Xa8666f/X8f4|0.501821918651|3.57471130081
|2013.1.00617.S|uid://A001/X197/Xad|uid://A002/Xa9a44e/X132|0.501821918651|3.57471130081
|2013.1.00617.S|uid://A001/X197/Xad|uid://A002/Xa9a44e/X4ae|0.501821918651|3.57471130081
|2013.1.00617.S|uid://A001/X197/Xad|uid://A002/Xaa8932/X148f|0.501821918651|3.57471130081
|2013.1.00617.S|uid://A001/X197/Xb1|uid://A002/Xa7f13b/X194|0.501821918651|2.21110632928
|2013.1.00617.S|uid://A001/X197/Xb1|uid://A002/Xa81701/X1fc|0.501821918651|2.21110632928
|2013.1.00617.S|uid://A001/X197/Xb1|uid://A002/Xa81701/X75b|0.501821918651|2.21110632928
|2013.1.00839.S|uid://A001/X133/X2|uid://A002/X9f9284/X175e|0.0804026850404|1.36297214414
|2013.1.00839.S|uid://A001/X133/X3|uid://A002/X892c75/X30f|0.572540818707|1.35599281699
|2013.1.00839.S|uid://A001/X133/X3|uid://A002/X894188/X429|0.572540818707|1.35599281699
|2013.1.00839.S|uid://A001/X133/X3|uid://A002/X895c89/X76c|0.572540818707|1.35599281699
|2013.1.00839.S|uid://A001/X133/X3|uid://A002/X8970e9/X1f4e|0.572540818707|1.35599281699
|2013.1.00839.S|uid://A001/X133/X4|uid://A002/X9f15bd/X17f|0.0804026850404|0.0914316693354
|2013.1.00839.S|uid://A001/X133/X4|uid://A002/X9f15bd/X716|0.0804026850404|0.0914316693354
|2013.1.00839.S|uid://A001/X133/X6|uid://A002/X9fddd8/X2172|0.0804026850404|0.315132559954
|2013.1.00861.S|uid://A001/X11f/X2c|uid://A002/X804fed/Xa46|0.0481201114267|0.175370578914
|2013.1.00914.S|uid://A001/X21f/Xcc|uid://A002/Xa9c359/X726|0.0355695209995|0.115207453178
|2013.1.00993.S|uid://A002/X996c88/X2e|uid://A002/X9d9aa5/Xe7c|0.0766473603677|0.140151215919
|2013.1.01014.S|uid://A001/X145/X3d2|uid://A002/X960614/X194c|0.197929719318|3.08095000526
|2013.1.01014.S|uid://A001/X145/X3d2|uid://A002/X9896b4/X392c|0.197929453555|3.08095000526
|2013.1.01014.S|uid://A001/X145/X3d2|uid://A002/X9f15bd/X10cf|0.197929453555|3.08095000526
|2013.1.01014.S|uid://A001/X145/X3d2|uid://A002/X9f15bd/X153e|0.197929453555|3.08095000526
|2013.1.01029.S|uid://A001/X145/X405|uid://A002/X99c183/X7b2e|0.203283166556|0.341427724042
|2013.1.01029.S|uid://A001/X145/X406|uid://A002/X9a755e/X15e7|0.189439690189|0.321088823119
|2013.1.01029.S|uid://A001/X145/X407|uid://A002/X9a5759/X28b8|0.203348133882|0.358096188211
|2013.1.01029.S|uid://A001/X145/X408|uid://A002/X9a8f80/X398|0.189439690189|0.3867823743
|2013.1.01204.S|uid://A001/X197/X39|uid://A002/Xa7dc73/X12aa|0.0421817888232|0.345154188383
|2013.1.01204.S|uid://A001/X197/X39|uid://A002/Xa8df68/Xfc|0.0421817888232|0.345154188383
|2013.1.01204.S|uid://A001/X197/X39|uid://A002/Xa916fc/X561e|0.0450364020443|0.345154188383
|2013.1.01242.S|uid://A001/X197/X21|uid://A002/Xaaa05f/X37a|0.0124934818872|0.0145566919713
|2013.1.01391.S|uid://A001/X147/X261|uid://A002/X9dcf39/X28ff|0.1991711688|0.217121765921
|2013.1.01391.S|uid://A001/X147/X261|uid://A002/X9e0695/X388a|0.1991711688|0.217121765921
|2013.1.01391.S|uid://A001/X147/X265|uid://A002/X9de499/X2f4a|0.199170371575|0.216558755759
|2013.1.01391.S|uid://A001/X147/X265|uid://A002/X9e0695/X2b52|0.199170371575|0.216558755759
|2013.1.01391.S|uid://A001/X147/X271|uid://A002/X9de499/X4652|0.189462434395|0.1964650045
|2013.1.01391.S|uid://A001/X147/X271|uid://A002/X9e0695/X32ff|0.189462434395|0.1964650045
|2013.1.01391.S|uid://A001/X147/X275|uid://A002/X9e0695/X15c1|0.189461676031|0.195959284859
|2015.1.00357.S|uid://A001/X2d8/Xad|uid://A002/Xae75f3/Xf18|0.0857468191354|0.229753380716
|2015.1.00357.S|uid://A001/X2d8/Xad|uid://A002/Xae75f3/X1211|0.0857468191354|0.229753380716
|2012.1.00080.S|uid://A002/X6444ba/X8|uid://A002/X717cdc/X213|1.28296097738|1288167.24584
|2012.1.00080.S|uid://A002/X6444ba/X8|uid://A002/X71a45c/X5c|1.28296097738|1288167.24365
|2012.1.00080.S|uid://A002/X6444ba/X8|uid://A002/X7330a2/X77|1.28296097738|1288167.25293
|2012.1.00080.S|uid://A002/X6444ba/X8|uid://A002/X734e5c/X7e|1.28296097738|1288167.24548
|2012.1.00385.S|uid://A002/X6b0cc1/Xa0|uid://A002/X75bfbf/X1430|0.0413931240849|1295920.78126
|2012.1.00385.S|uid://A002/X6b0cc1/Xa0|uid://A002/X75bfbf/X1728|0.0413931240849|1295920.44799
